ERROR_TYPE,COUNT,PERCENTAGE
"Network Error: HTTPSConnectionPool(host='sosalkaprivet.pages.dev', port=443): Max retries exceeded with url: /nft/collection.json (Caused by NameResolutionError(""HTTPSConnection(host='sosalkaprivet.pages.dev', port=443): Failed to resolve 'sosalkaprivet.pages.dev' ([Errno -2] Name or service not known)""))",3,0.1%
"Network Error: HTTPSConnectionPool(host='api.bnb.predict.fun', port=443): Max retries exceeded with url: /v1/market-outcome/ (Caused by NameResolutionError(""HTTPSConnection(host='api.bnb.predict.fun', port=443): Failed to resolve 'api.bnb.predict.fun' ([Errno -2] Name or service not known)""))",3,0.1%
Network Error: 403 Client Error: Forbidden for url: https://lpclaw.vip/meta/1.json,2,0.07%
"Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Voucher/1/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Gift/2/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Base/1/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.07%
Network Error: 404 Client Error: Not Found for url: https://ghostos.top/lfc/1,2,0.07%
"Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/1/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/2/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/3/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.07%
Network Error: 404 Client Error: Not Found for url: http://207.148.127.15/nft/,2,0.07%
Network Error: 404 Client Error: Not Found for url: https://freedomofnft.xyz/metadata/1.json,2,0.07%
"Network Error: HTTPConnectionPool(host='127.0.0.1', port=5173): Max retries exceeded with url: /nft-metadata/1.json (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=5173): Failed to establish a new connection: [Errno 111] Connection refused""))",2,0.07%
Network Error: 404 Client Error: Not Found for url: https://example.com/api/item/0000000000000000000000000000000000000000000000000000000000000001.json,2,0.07%
Network Error: 404 Client Error: Not Found for url: http://ceshi.sktoken.lol/assets/nft-tier-1.svg,2,0.07%
Network Error: 502 Server Error: Bad Gateway for url: https://pepex.fit/nft/metadata/1,2,0.07%
Network Error: 404 Client Error: Not Found for url: https://racawebsource.s3.us-east-2.amazonaws.com/metamon/metadata/normal/metamon_,2,0.07%
Network Error: 404 Client Error: Not Found for url: https://example.com/0,2,0.07%
"Network Error: HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /sbt/sbt.json (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=5000): Failed to establish a new connection: [Errno 111] Connection refused""))",2,0.07%
Network Error: 404 Client Error: Not Found for url: https://symbio-nft.paulyk83.workers.dev/1.json,2,0.07%
"Network Error: HTTPSConnectionPool(host='www.lkcat.org', port=443): Max retries exceeded with url: /nfts/1 (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1081)')))",2,0.07%
Network Error: 404 Client Error: Not Found for url: https://remix.ethereum.org//1.json,2,0.07%
"Network Error: HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /functions/v1/second-wave-metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Failed to resolve 'fckqnmehuebqmevkicgz.supabase.co' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='placeholder-uri', port=443): Max retries exceeded with url: /0000000000000000000000000000000000000000000000000000000000000001.json (Caused by NameResolutionError(""HTTPSConnection(host='placeholder-uri', port=443): Failed to resolve 'placeholder-uri' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='metadata.pennywhale.io', port=443): Max retries exceeded with url: /masternode/ (Caused by NameResolutionError(""HTTPSConnection(host='metadata.pennywhale.io', port=443): Failed to resolve 'metadata.pennywhale.io' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='api.shll.run', port=443): Max retries exceeded with url: /api/metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.shll.run', port=443): Failed to resolve 'api.shll.run' ([Errno -2] Name or service not known)""))",2,0.07%
Network Error: 526 Server Error: <none> for url: https://api.pantheon.best/tokens/1,2,0.07%
"Network Error: HTTPSConnectionPool(host='api.bakeryswap.org', port=443): Max retries exceeded with url: /nft/musk-usm-land/ (Caused by NameResolutionError(""HTTPSConnection(host='api.bakeryswap.org', port=443): Failed to resolve 'api.bakeryswap.org' ([Errno -2] Name or service not known)""))",2,0.07%
Network Error: 404 Client Error: Not Found for url: https://trade.3o.pw/metadata/1,2,0.07%
"Network Error: HTTPSConnectionPool(host='api.znsconnect.io', port=443): Max retries exceeded with url: /v1/metadata/56/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.znsconnect.io', port=443): Failed to resolve 'api.znsconnect.io' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /storage/v1/object/public/capsule-nfts/metadata/0000000000000000000000000000000000000000000000000000000000000001.json (Caused by NameResolutionError(""HTTPSConnection(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Failed to resolve 'fckqnmehuebqmevkicgz.supabase.co' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /functions/v1/nft-metadata/1.json (Caused by NameResolutionError(""HTTPSConnection(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Failed to resolve 'fckqnmehuebqmevkicgz.supabase.co' ([Errno -2] Name or service not known)""))",2,0.07%
Network Error: 500 Server Error: Internal Server Error for url: https://k51qzi5uqu5dk3bm4dihh2bgna065kvf44rmshffv9ff0y67tlzpaw3s4ws7da.ipns.dweb.link/,2,0.07%
"Network Error: HTTPConnectionPool(host='sosalkaprivet2.pages.dev', port=80): Max retries exceeded with url: /nft/collection.json (Caused by NameResolutionError(""HTTPConnection(host='sosalkaprivet2.pages.dev', port=80): Failed to resolve 'sosalkaprivet2.pages.dev' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='qweasdzxcf.pages.dev', port=443): Max retries exceeded with url: /nft/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='qweasdzxcf.pages.dev', port=443): Failed to resolve 'qweasdzxcf.pages.dev' ([Errno -2] Name or service not known)""))",2,0.07%
"Network Error: HTTPSConnectionPool(host='nft.transvoucher.com', port=443): Max retries exceeded with url: /TransVoucherNFT.json (Caused by NameResolutionError(""HTTPSConnection(host='nft.transvoucher.com', port=443): Failed to resolve 'nft.transvoucher.com' ([Errno -2] Name or service not known)""))",2,0.07%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBRACA/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/AXOLOTLS/1,1,0.03%
"On-Chain Parse Error: Expecting ',' delimiter: line 1 column 139 (char 138)",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://growxly.com/img2/GLX_metadata.json,1,0.03%
Network Error: 500 Server Error: Internal Server Error for url: https://api-kc-api-metadata.uc.r.appspot.com/?tokenId=1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://nft-api.vdax.vn/api/v1/api/v1/external-cert-metadata/928,1,0.03%
"Network Error: HTTPSConnectionPool(host='metadata.qorpo.world', port=443): Max retries exceeded with url: /cc/lootbox.json (Caused by NameResolutionError(""HTTPSConnection(host='metadata.qorpo.world', port=443): Failed to resolve 'metadata.qorpo.world' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://growxly.com/img2/REVO_metadata.json,1,0.03%
"Network Error: HTTPSConnectionPool(host='gateway.genfty.com', port=443): Max retries exceeded with url: /ipfs/bafybeiaxpafurbl6d6o6q4g7i5zi2tuc4jm4admeihvzymycrtw5gu5cq4/ (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1081)')))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBGAMEFIPROTOCOL/1,1,0.03%
"Network Error: HTTPSConnectionPool(host='cyrusfinance.xyz', port=443): Max retries exceeded with url: /api/nft/position/1 (Caused by NameResolutionError(""HTTPSConnection(host='cyrusfinance.xyz', port=443): Failed to resolve 'cyrusfinance.xyz' ([Errno -2] Name or service not known)""))",1,0.03%
On-Chain Parse Error: Illegal trailing comma before end of array: line 1 column 2969 (char 2968),1,0.03%
Network Error: 525 Server Error: <none> for url: https://api.agartana.com/api/meta/1,1,0.03%
"Network Error: HTTPSConnectionPool(host='ipfs.featured.market', port=443): Max retries exceeded with url: /ipfs/QmUybAtJ9JE42pEGzLRuWKeJfZbJXNgrhi6hDMLRbe84Cu (Caused by NameResolutionError(""HTTPSConnection(host='ipfs.featured.market', port=443): Failed to resolve 'ipfs.featured.market' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://api.liquidnfts.finance/collection/eternals-the-bloodline-of-titans/metadata.json,1,0.03%
"Network Error: HTTPSConnectionPool(host='12divinebeasts.art', port=443): Max retries exceeded with url: /nfts-test5/metadata/1.json (Caused by NameResolutionError(""HTTPSConnection(host='12divinebeasts.art', port=443): Failed to resolve '12divinebeasts.art' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/e5d8bef311d80003282ef9f66df096f1,1,0.03%
Network Error: 403 Client Error: Forbidden for url: https://beaniworld.com/api/metadata/1.json,1,0.03%
"Network Error: HTTPConnectionPool(host='oss.aimallx.app', port=80): Max retries exceeded with url: /nft/0/contract.json (Caused by NameResolutionError(""HTTPConnection(host='oss.aimallx.app', port=80): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='api.nexiorwa.com', port=443): Max retries exceeded with url: /nftJson/0xFC9b85eC1De9F7987008a7c12565C644bdF721fd/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.nexiorwa.com', port=443): Failed to resolve 'api.nexiorwa.com' ([Errno -2] Name or service not known)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='metadata.changeswap.io', port=443): Max retries exceeded with url: /nft/CsgSigma/profiles/1 (Caused by NameResolutionError(""HTTPSConnection(host='metadata.changeswap.io', port=443): Failed to resolve 'metadata.changeswap.io' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBMELOS/1,1,0.03%
"Network Error: HTTPConnectionPool(host='metadata.fishnft.xyz', port=80): Max retries exceeded with url: /koi/nft/KOIEarlySupporterNFT/contract (Caused by ConnectTimeoutError(<HTTPConnection(host='metadata.fishnft.xyz', port=80) at 0x7fece6568f30>, 'Connection to metadata.fishnft.xyz timed out. (connect timeout=15)'))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://nft.spfmeta.cc/api/api/nft/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://example.com/api/token/https://example.com/api/token/,1,0.03%
On-Chain Parse Error: Expecting ':' delimiter: line 1 column 27 (char 26),1,0.03%
Network Error: 404 Client Error: Not Found for url: https://beiyong.lightmark.love/logo.png1,1,0.03%
"Network Error: HTTPSConnectionPool(host='ipfs.featured.market', port=443): Max retries exceeded with url: /ipfs/QmUW7FtWKYN6y1o9Rte3acE1qXDvYuSiyZZPViHyj3LkAr (Caused by NameResolutionError(""HTTPSConnection(host='ipfs.featured.market', port=443): Failed to resolve 'ipfs.featured.market' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://meta.test.io/1.json,1,0.03%
"Network Error: HTTPSConnectionPool(host='ghlenvxgqyjytgfpzuuh.supabase.co', port=443): Max retries exceeded with url: /storage/v1/object/public/trump//stkvip.json (Caused by NameResolutionError(""HTTPSConnection(host='ghlenvxgqyjytgfpzuuh.supabase.co', port=443): Failed to resolve 'ghlenvxgqyjytgfpzuuh.supabase.co' ([Errno -2] Name or service not known)""))",1,0.03%
"Network Error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /projects/moremoney/1777505034.json (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [Errno 111] Connection refused""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBSTARRYNIFT/1,1,0.03%
"Network Error: HTTPSConnectionPool(host='metadata.vcgamers.com', port=443): Max retries exceeded with url: /nft/0x7c4590f72d1e154fc60c2b62e5d52e43d760f8be/ (Caused by NameResolutionError(""HTTPSConnection(host='metadata.vcgamers.com', port=443): Failed to resolve 'metadata.vcgamers.com' ([Errno -5] No address associated with hostname)""))",1,0.03%
On-Chain Parse Error: Invalid control character at: line 1 column 195 (char 194),1,0.03%
Network Error: 404 Client Error: Not Found for url: https://dreamfinance.s3.ap-northeast-1.amazonaws.com/mdf/metadatas/0,1,0.03%
"Network Error: HTTPSConnectionPool(host='nft-api.inceptiongame.fun', port=443): Max retries exceeded with url: /dogeStatues/1 (Caused by NameResolutionError(""HTTPSConnection(host='nft-api.inceptiongame.fun', port=443): Failed to resolve 'nft-api.inceptiongame.fun' ([Errno -2] Name or service not known)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='api.example.com', port=443): Max retries exceeded with url: /fair-metadata/1.json (Caused by NameResolutionError(""HTTPSConnection(host='api.example.com', port=443): Failed to resolve 'api.example.com' ([Errno -5] No address associated with hostname)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='storageapi.fleek.co', port=443): Max retries exceeded with url: /4e76b4d6-2eaa-4096-8bcf-95ba2cbc007e-bucket/ (Caused by NewConnectionError(""HTTPSConnection(host='storageapi.fleek.co', port=443): Failed to establish a new connection: [Errno 111] Connection refused""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/AIMETAFI/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://example.com/metadata/1777304917559.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://example.com/metadata/1777303928425.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://mist.game/data/nfts/ranger.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://mist.game/data/nfts/viridis.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://mist.game/data/nfts/fest/santa2021.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/4e902669818594ed2cb745fc932f9fd4,1,0.03%
"Network Error: HTTPSConnectionPool(host='hero-api.defina.finance', port=443): Max retries exceeded with url: /cards/1001 (Caused by NameResolutionError(""HTTPSConnection(host='hero-api.defina.finance', port=443): Failed to resolve 'hero-api.defina.finance' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 403 Client Error: Forbidden for url: https://cinefi-nft-metadat-test.s3.us-east-2.amazonaws.com/mainnet/contract.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://monstercrypt.github.io/api/metadata/0000000000000000000000000000000000000000000000000000000000000001.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/d143a027007ab716b4d3c37dbdc6c66d,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BLCKLST/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBBT3/1,1,0.03%
Network Error: 401 Client Error: Unauthorized for url: https://apiarys.ai/api/device/metadata/4/CLAW-6E715C5D.json,1,0.03%
Network Error: 403 Client Error: Forbidden for url: https://file.coin98.com/collection/dm/56/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://api.liquidnfts.finance/collection/exploring-space/metadata.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/0642e63e13efa4f27e7fa3d6b6e61cf3,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBLUNARBOX/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://cdn.alchemyfinance.vip/level2/1.jpg,1,0.03%
"Network Error: HTTPSConnectionPool(host='7s2yrxbreoefefbzhzlohedbbruvuiafj3gw5luyupwonaibdl5q.mainnet-1.datasprite-cdn.com', port=443): Max retries exceeded with url: /J1UHpSfVo1NfxaFYFp2PPkoZSiQkECyxpRpZvBGxKVeA/ (Caused by NewConnectionError(""HTTPSConnection(host='7s2yrxbreoefefbzhzlohedbbruvuiafj3gw5luyupwonaibdl5q.mainnet-1.datasprite-cdn.com', port=443): Failed to establish a new connection: [Errno 111] Connection refused""))",1,0.03%
Network Error: 521 Server Error: <none> for url: https://ipfs.loncher.fun/ipfs/QmbuBR2NRyVUGZNFLocm69917CQHGWY5n4qJZVnKJEJdfm/644.json,1,0.03%
"Network Error: HTTPSConnectionPool(host='data-platform.muaverse.build', port=443): Max retries exceeded with url: /public_api/boarding_card/item/0000000000000000000000000000000000000000000000000000000000000001.json (Caused by NameResolutionError(""HTTPSConnection(host='data-platform.muaverse.build', port=443): Failed to resolve 'data-platform.muaverse.build' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBXWG7/1,1,0.03%
Network Error: 403 Client Error: Forbidden for url: https://dominoes-images-production.s3.amazonaws.com/,1,0.03%
"Network Error: HTTPSConnectionPool(host='api-marketplace.metarun.game', port=443): Max retries exceeded with url: /metadata/56/0000000000000000000000000000000000000000000000000000000000000001.json (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='api-marketplace.metarun.game', port=443): Read timed out. (read timeout=15)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='nftstorage.link', port=443): Max retries exceeded with url: /ipfs/bafybeia6nrlz74ulpwbe5su5jsxukfkp2rjqueic2h52gb4ib4a63h6biq/ (Caused by NameResolutionError(""HTTPSConnection(host='nftstorage.link', port=443): Failed to resolve 'nftstorage.link' ([Errno -3] Temporary failure in name resolution)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='aegis-protocol.io', port=443): Max retries exceeded with url: /agent/alpha (Caused by NameResolutionError(""HTTPSConnection(host='aegis-protocol.io', port=443): Failed to resolve 'aegis-protocol.io' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/efe213d44e2bc0f7a924079862d6e273,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://nft.lingape.com/1/contract.json,1,0.03%
"Network Error: HTTPSConnectionPool(host='ipfs.featured.market', port=443): Max retries exceeded with url: /ipfs/QmP9pHLkQMmGpnp6dHiq7QnFmWHbodo7DgRJyxCYoRBuBh (Caused by NameResolutionError(""HTTPSConnection(host='ipfs.featured.market', port=443): Failed to resolve 'ipfs.featured.market' ([Errno -2] Name or service not known)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='api.avengersnft.com', port=443): Max retries exceeded with url: /api/v1/nft/anft/metadata/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.avengersnft.com', port=443) at 0x7fece4589bd0>, 'Connection to api.avengersnft.com timed out. (connect timeout=15)'))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://nft.lingape.com/json/contractURI.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/MYCITYXYZ/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/09bcdb60f9004d79c881719531b772b8,1,0.03%
Network Error: Failed to parse: https://nft.cnft.one:7777contract/0x72bd3f81b3cd654fc425b8dd503adbbf95b5dfd2,1,0.03%
"Network Error: HTTPSConnectionPool(host='nft.nemogem.com', port=443): Max retries exceeded with url: /1 (Caused by NameResolutionError(""HTTPSConnection(host='nft.nemogem.com', port=443): Failed to resolve 'nft.nemogem.com' ([Errno -2] Name or service not known)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='metadata.mones.io', port=443): Max retries exceeded with url: /heroes/1 (Caused by NameResolutionError(""HTTPSConnection(host='metadata.mones.io', port=443): Failed to resolve 'metadata.mones.io' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 403 Client Error: Forbidden for url: https://biswap.org/back/nft/metadata/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BFIVEYEARP/1,1,0.03%
"Network Error: HTTPSConnectionPool(host='api.invaderz.io', port=443): Max retries exceeded with url: /api/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.invaderz.io', port=443): Failed to resolve 'api.invaderz.io' ([Errno -2] Name or service not known)""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='api.fishyfrenzbsc.com', port=443): Max retries exceeded with url: /api/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.fishyfrenzbsc.com', port=443): Failed to resolve 'api.fishyfrenzbsc.com' ([Errno -2] Name or service not known)""))",1,0.03%
"Network Error: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /mock-ipfs/1-contract-b9e1ee17bff516fe022f51d5-6cf2e528-6e3f-4197-94f3-881731722a70.json (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3000): Failed to establish a new connection: [Errno 111] Connection refused""))",1,0.03%
"Network Error: HTTPSConnectionPool(host='app.heroverse.io', port=443): Max retries exceeded with url: /api/hero-metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='app.heroverse.io', port=443): Failed to resolve 'app.heroverse.io' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://api.lulumart.app/series/10871215192/token/,1,0.03%
"Network Error: HTTPSConnectionPool(host='ipfs.featured.market', port=443): Max retries exceeded with url: /ipfs/QmTpxkZdijEEJyHBFSfJaVGER5d39PPWYdYnz6zcU7ErkB (Caused by NameResolutionError(""HTTPSConnection(host='ipfs.featured.market', port=443): Failed to resolve 'ipfs.featured.market' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 500 Server Error: Internal Server Error for url: https://nft.api.mousehaunt.com/public/mice/1,1,0.03%
"Network Error: HTTPSConnectionPool(host='agora.example', port=443): Max retries exceeded with url: /metadata/0000000000000000000000000000000000000000000000000000000000000001.json (Caused by NameResolutionError(""HTTPSConnection(host='agora.example', port=443): Failed to resolve 'agora.example' ([Errno -2] Name or service not known)""))",1,0.03%
Network Error: 404 Client Error: Not Found for url: https://nft.lingape.com/json/2.json,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/dc040b20cf9b30e31b4a1ae040805da4,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/ForeverToTheMoon/1,1,0.03%
Network Error: 404 Client Error: Not Found for url: https://public.nftstatic.com/static/nft/BSC/BMBTMAC/1,1,0.03%
