ERROR_TYPE,COUNT,PERCENTAGE
"Network Error: HTTPSConnectionPool(host='h2o.local', port=443): Max retries exceeded with url: /node-nft-v2/1 (Caused by NameResolutionError(""HTTPSConnection(host='h2o.local', port=443): Failed to resolve 'h2o.local' ([Errno -2] Name or service not known)""))",3,0.1%
"Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/0/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",3,0.1%
Network Error: 404 Client Error: Not Found for url: https://api.titanfi.io/api/metadata,3,0.1%
Network Error: 404 Client Error: Not Found for url: https://smiling-chocolate-beaver.myfilebase.com/ipfs/QmdAY41wV8eg5psFbmGCPJQpMkrKqauJAevXcvZKAnhpk4,3,0.1%
"Network Error: HTTPSConnectionPool(host='sosalkaprivet.pages.dev', port=443): Max retries exceeded with url: /nft/collection.json (Caused by NameResolutionError(""HTTPSConnection(host='sosalkaprivet.pages.dev', port=443): Failed to resolve 'sosalkaprivet.pages.dev' ([Errno -2] Name or service not known)""))",3,0.1%
"Network Error: HTTPSConnectionPool(host='api.bnb.predict.fun', port=443): Max retries exceeded with url: /v1/market-outcome/ (Caused by NameResolutionError(""HTTPSConnection(host='api.bnb.predict.fun', port=443): Failed to resolve 'api.bnb.predict.fun' ([Errno -2] Name or service not known)""))",3,0.1%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeido5wgmaovfciidwtelgpozylmaosbuz33o3dffszm3xjr2hj6xiq/.json,2,0.06%
"On-Chain Parse Error: <string>:1 Unexpected ""h"" at column 105",2,0.06%
[ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/agi-node/0000000000000000000000000000000000000000000000000000000000000001.json,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/Qme1YKzTsywDUqBT5wizyMYuamFYRTxdgtpaxogYmqfdM8,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmVTbFS5y269khrWBCRazfPnbvGpWQLXojhLtWYLnqJut8,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/CID_CHARANGOS_RECUERDOS.json,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmaXVYEQEMMykH5zkwUYxhe836gKgmA2vRVV5cYQouKkAr,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeienwiwrqvr4w3svfd5squvzqemcofvkpbwgbx74rlealvkfbdp3yq/.json,2,0.06%
Invalid URI: unsupported scheme in '0.json',2,0.06%
[http] Invalid URI: skipped host 'api.example.com',2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd.json,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmTestNFT2.json,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/puzzle/season-1/.json,2,0.06%
"No URI found on contract (even with exact ID) — Last revert/error: ('0x0f3342be', '0x0f3342be')",2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreie5k4ek3jbeloehzukhwavfewzfgke3a36pbnslg5scwkg7di7nhm1,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreifw5inoaon374vxnzravgrfsi3kweahldntafshvyxxwlavhjyw5i1,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreihoggvh6hcchextjxemtz2f53rdn3hsikctaddja3kzwxp4bi6nfy1,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmQm3yXShtZvMs3apYAjFEDk7ezDC5ohEFyBgPNU5j7jyW,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmaPyw6x9Qivs4woouHFwfepvpRqQCLpJrcYJwRpufwRGu,2,0.06%
[http] Network Error: 502 Server Error: Bad Gateway for url: https://pepex.fit/nft/metadata/1,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmQhVGi8impf3w8kLKT8qyj4Tg9ppE9RDDWn4J3LRcUFrW,2,0.06%
[http] Network Error: 403 Client Error: Forbidden for url: https://hexanftpool.com/metadata/,2,0.06%
[http] Network Error: 400 Client Error: Bad Request for url: https://gateway.pinata.cloud/ipfs/,2,0.06%
"No URI found on contract (even with exact ID) — Last revert/error: ('0x3c10b94e', '0x3c10b94e')",2,0.06%
Invalid URI: unsupported scheme in '秦始皇',2,0.06%
"[http] Server returned HTML instead of JSON (from https://api.dmt-web.com/api/dapp/nft/index/1.json): '{     ""name"": ""NFT1 D"",     ""image"": ""https:\/\/api.dmt-web.com\/uploads\/20260116\/9e2d296daa5cedc63d398bd760de4343.jpg"" }'",2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmWi5s5REyT1UkiQ5Ek5KQ5zPMk9e8T1Wx6bNwazqqP5d4,2,0.06%
[http] Network Error: 403 Client Error: Forbidden for url: https://yf.yuliverse.com/prod/md/json/,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmZY7juUQJUx62CAnpN1Eu1RkUAMsAsejTzZaUWqXgBJBF.json,2,0.06%
[http] Invalid URI: skipped host 'placeholder-uri',2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/synaptex/agents/thunder.json,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmS5FzzPuX4PVACLRKg89dQivTnCZdz8DWStYacLFe2hZe,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmXd7ccFtNWE514SogQGid95pVT3KxLNLeaEnVBpB9UTzk,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmdkdsEttaen4SrXPqaEHX9DYEo3sAiC6Gp9NEocpX3qMA,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmfMgsVxpbmLfUW33fqpCAZSrf3FHeRzHwKcfSejVH7rwY,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeifbnuxkfzde2y62xldzd2owrc6wgtnjzwbccwikm5vlhtjon6ejey/Griffin%2520%25231.json,2,0.06%
Invalid URI: unsupported scheme in '/#1/2799',2,0.06%
[ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeied5zxkqvipnknlwn6nd53i7p4lw6ersphvi4cki4lhhpbnol3p24/0000000000000000000000000000000000000000000000000000000000000001.json,2,0.06%
No URI found on contract (even with exact ID) — Last revert/error: ('execution reverted: no native: 0x08c379a0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000096e6f206e617469766500000000000,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmYEEMM9fuR6eDHUYtYREFUmrBSDFVn2GYyuuTquMDm1HL,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmTmryqC5S7PRsCFvY4QrqEVNCMTBArjHh4Bukub1RdHDx,2,0.06%
[http] Network Error: 526 Server Error: <none> for url: https://api.pantheon.best/tokens/1,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmU2B6zEpq2qQPtBgw6Xoap5RVwgjyv6tnoVZfPcGSKskT,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeid23e6fbnddgrg5lg562g2siqicm5r64hilgpkldszttfhc272key/.json,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeigcptcedryb5c3mky3pc7bcw3m2wpn736pytcdx7p7vsmnlguynn4/.json,2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmbaSkDcgQL25GYY7ZZ6ZoYAppFTwEa3m6BUnsXMZVTc2Q,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreidqilnpotv53n6q4v5oyvof56nn2nyu74sdgl6pz45hukrx3c2vq.json,2,0.06%
Invalid URI: unsupported scheme in 'bafkreidntcregd5vuufawgsmrr3m3mmqltuxxmglwshyym5uzsncs3kbam',2,0.06%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/3.json,2,0.06%
[ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeid3lnizw45fntsnpkhdvkhuqqdv3gh3inbhwe4cguvg7dzvdcuoay/0000000000000000000000000000000000000000000000000000000000000001.json,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeicwuystrswcjwhitcnkf4bwvjn3fpl4isnzcfhwfztfo54i74h2ti/zmm.jpg.json,2,0.06%
[http] Network Error: 500 Server Error: Internal Server Error for url: https://k51qzi5uqu5dk3bm4dihh2bgna065kvf44rmshffv9ff0y67tlzpaw3s4ws7da.ipns.dweb.link/,2,0.06%
No URI found on contract (even with exact ID) — Last revert/error: ('execution reverted: Amount must be greater than 0: 0x08c379a00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000001d416d6f756,2,0.06%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeicwuystrswcjwhitcnkf4bwvjn3fpl4isnzcfhwfztfo54i74h2ti/1.jpg.json,2,0.06%
"Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Voucher/1/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Gift/2/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Base/1/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.06%
Network Error: 404 Client Error: Not Found for url: https://ghostos.top/lfc/1,2,0.06%
"Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/1/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/2/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/3/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.06%
Network Error: 404 Client Error: Not Found for url: http://207.148.127.15/nft/,2,0.06%
Network Error: 404 Client Error: Not Found for url: https://rec.recen.net/api/metadata/token,2,0.06%
Network Error: 404 Client Error: Not Found for url: https://freedomofnft.xyz/metadata/1.json,2,0.06%
Network Error: 404 Client Error: Not Found for url: http://ceshi.sktoken.lol/assets/nft-tier-1.svg,2,0.06%
Network Error: 404 Client Error: Not Found for url: https://racawebsource.s3.us-east-2.amazonaws.com/metamon/metadata/normal/metamon_,2,0.06%
Network Error: 404 Client Error: Not Found for url: https://symbio-nft.paulyk83.workers.dev/1.json,2,0.06%
"Network Error: HTTPConnectionPool(host='159.75.126.10', port=8864): Max retries exceeded with url: /metadata/1 (Caused by ConnectTimeoutError(<HTTPConnection(host='159.75.126.10', port=8864) at 0x7f628d578270>, 'Connection to 159.75.126.10 timed out. (connect timeout=15)'))",2,0.06%
"Network Error: HTTPSConnectionPool(host='www.lkcat.org', port=443): Max retries exceeded with url: /nfts/1 (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1081)')))",2,0.06%
Network Error: 404 Client Error: Not Found for url: https://remix.ethereum.org//1.json,2,0.06%
"Network Error: HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /functions/v1/second-wave-metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Failed to resolve 'fckqnmehuebqmevkicgz.supabase.co' ([Errno -2] Name or service not known)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='metadata.pennywhale.io', port=443): Max retries exceeded with url: /masternode/ (Caused by NameResolutionError(""HTTPSConnection(host='metadata.pennywhale.io', port=443): Failed to resolve 'metadata.pennywhale.io' ([Errno -2] Name or service not known)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='api.shll.run', port=443): Max retries exceeded with url: /api/metadata/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.shll.run', port=443): Failed to resolve 'api.shll.run' ([Errno -2] Name or service not known)""))",2,0.06%
Network Error: 404 Client Error: The specified resource does not exist. for url: https://content.micropets.io/metadata/,2,0.06%
"Network Error: HTTPSConnectionPool(host='api.bakeryswap.org', port=443): Max retries exceeded with url: /nft/musk-usm-land/ (Caused by NameResolutionError(""HTTPSConnection(host='api.bakeryswap.org', port=443): Failed to resolve 'api.bakeryswap.org' ([Errno -2] Name or service not known)""))",2,0.06%
Network Error: 404 Client Error: Not Found for url: https://trade.3o.pw/metadata/1,2,0.06%
"Network Error: HTTPSConnectionPool(host='api.znsconnect.io', port=443): Max retries exceeded with url: /v1/metadata/56/1 (Caused by NameResolutionError(""HTTPSConnection(host='api.znsconnect.io', port=443): Failed to resolve 'api.znsconnect.io' ([Errno -2] Name or service not known)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /storage/v1/object/public/capsule-nfts/metadata/0000000000000000000000000000000000000000000000000000000000000001.json (Caused by NameResolutionError(""HTTPSConnection(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Failed to resolve 'fckqnmehuebqmevkicgz.supabase.co' ([Errno -2] Name or service not known)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Max retries exceeded with url: /functions/v1/nft-metadata/1.json (Caused by NameResolutionError(""HTTPSConnection(host='fckqnmehuebqmevkicgz.supabase.co', port=443): Failed to resolve 'fckqnmehuebqmevkicgz.supabase.co' ([Errno -2] Name or service not known)""))",2,0.06%
Network Error: 404 Client Error: Not Found for url: https://www.blackboxmint.com/nft/lottery/,2,0.06%
"Network Error: HTTPConnectionPool(host='sosalkaprivet2.pages.dev', port=80): Max retries exceeded with url: /nft/collection.json (Caused by NameResolutionError(""HTTPConnection(host='sosalkaprivet2.pages.dev', port=80): Failed to resolve 'sosalkaprivet2.pages.dev' ([Errno -2] Name or service not known)""))",2,0.06%
"Network Error: HTTPSConnectionPool(host='qweasdzxcf.pages.dev', port=443): Max retries exceeded with url: /nft/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='qweasdzxcf.pages.dev', port=443): Failed to resolve 'qweasdzxcf.pages.dev' ([Errno -2] Name or service not known)""))",2,0.06%
Network Error: 404 Client Error: Not Found for url: https://www.blackboxone.io/nft/lottery/,2,0.06%
"Network Error: HTTPSConnectionPool(host='nft.transvoucher.com', port=443): Max retries exceeded with url: /TransVoucherNFT.json (Caused by NameResolutionError(""HTTPSConnection(host='nft.transvoucher.com', port=443): Failed to resolve 'nft.transvoucher.com' ([Errno -2] Name or service not known)""))",2,0.06%
"[http] Server returned an empty body (HTTP 200, from https://www.okx.com/priapi/v1/nft/metadata/56/0xebd7dae1d397870c2b32c769f576c1fe1e5931ad/0xdad4d13e115a8a4e83522ada16b2c7400e97dec6000000000000710000000001)",1,0.03%
"[http] Server returned an empty body (HTTP 200, from https://www.okx.com/priapi/v1/nft/metadata/56/0xf9ba0a91cd839f0faea3e1188d6697d0b45bb982/0x47e75cfb1b594eea586ed67cfb868b70354be576000000000000070000000001)",1,0.03%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: https://gateway.pinata.cloud/ipfs/dream-card/card.json,1,0.03%
"[http] Server returned an empty body (HTTP 200, from https://www.okx.com/priapi/v1/nft/metadata/56/0xb2574cf0b4033da48f2b0109c9adb8a163c505cc/0xb664258c1263c8005861cd6530f73b8a67c752dd000000000000720000000001)",1,0.03%
[ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/ipfs%3A//bafybeieankjdrs7xlzighrgmbwwh5263ihoydg3zam753wgxze2h2hcydm/1.json,1,0.03%
[http] Network Error: 500 Server Error: Internal Server Error for url: https://app.chainspot.io/api/1.0/loyalty/nft-image-data?level=1,1,0.03%
[ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmfFx48E27sK3rbkHoTy57Tqn4KiTmuv5wPXDoVt2ZBALp/ipfs%3A//QmfFx48E27sK3rbkHoTy57Tqn4KiTmuv5wPXDoVt2ZBALp/1.json,1,0.03%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeihlwhaz6k7doahznutt3c27bhly6rgh63763zbt6lkug65vl7dhvi/.json,1,0.03%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmXaQyb4yozkyf3znunYNRRDReooxSnzfgLgokM5jKKrdJ/.json,1,0.03%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/Qma4qy64hViMiZiQPt1CAh693pHu28pKcVtEAWHDnV2omK/.json,1,0.03%
"[http] Server returned an empty body (HTTP 200, from https://www.okx.com/priapi/v1/nft/metadata/56/0x32d59a918b134a28c0559a19d13333a1d71c1ead/0x47e75cfb1b594eea586ed67cfb868b70354be5760000000000000b0000000001)",1,0.03%
"[http] Server returned an empty body (HTTP 200, from https://www.okx.com/priapi/v1/nft/metadata/56/0xe281e7544710e7fe8d3654a7311dbab8f31091a6/0x47e75cfb1b594eea586ed67cfb868b70354be576000000000000050000000001)",1,0.03%
"[http] Server returned an empty body (HTTP 200, from https://www.okx.com/priapi/v1/nft/metadata/56/0xfee0d81e9efe69bde796c61ebd4f8a1417fd3d36/0x47e75cfb1b594eea586ed67cfb868b70354be576000000000000050000000001)",1,0.03%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeihws3jj3aots67pwvbbj7wggewhhvbdcjnz6mjsclq6cfj4cc3nyy/.json,1,0.03%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeigcmnmcby36k365texnqolfh3ufcc26fvlxdtowe6n74nymts2etu/.json,1,0.03%
[ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmNjs8TxzsYwN4hKsbB4KJX8Rbhd3pSYAmtwKoxgy5Eqbo,1,0.03%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeicpbsxukuwilsopot4bue42v4yblwmczqms6m7x4nuaomjaw4f3bu/.json,1,0.03%
"[http] Network Error: HTTPSConnectionPool(host='nft.9mm.pro', port=443): Max retries exceeded with url: /v3/bsc/1 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='nft.9mm.pro', port=443): Read timed out. (read timeout=15)""))",1,0.03%
[ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/placeholder/1.json,1,0.03%
[ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/flapdivinestone/2/1.json,1,0.03%
