ERROR_TYPE,COUNT,PERCENTAGE
"[http] Network Error: HTTPSConnectionPool(host='nft.loops.finance', port=443): Max retries exceeded with url: /1 (Caused by SSLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1081)')))",5,0.18%
"[ipfs_gateway] Server returned HTML instead of JSON (from http://127.0.0.1:8080/ipfs/bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi/): '<!DOCTYPE html>  <html lang=""en""> <head>   <meta charset=""utf-8"" />   <meta name=""description"" content=""A directory of content-addressed files hosted on IPFS."">   <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">   <link rel=""shortcut icon"" href=""data:image/x-icon;base64,AAABAAE' | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi.json | [ipfs_gateway] Server returned HTML instead of JSON (from https://ipfs.io/ipfs/bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi/): '<!DOCTYPE html>  <html lang=""en""> <head>   <meta charset=""utf-8"" />   <meta name=""description"" content=""A directory of content-addressed files hosted on IPFS."">   <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">   <link rel=""shortcut icon"" href=""data:image/x-icon;base64,AAABAAE' | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi.json | [ipfs_gateway] Server returned HTML instead of JSON (from https://bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi.ipfs.dweb.link/): '<!DOCTYPE html>  <html lang=""en""> <head>   <meta charset=""utf-8"" />   <meta name=""description"" content=""A directory of content-addressed files hosted on IPFS."">   <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">   <link rel=""shortcut icon"" href=""data:image/x-icon;base64,AAABAAE' | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafybeihaet4iwdnvmlwuno42whkcibq2vb7psbiu3hupcldjcyzs3vuphi.json",4,0.14%
"No URI found on contract (even with exact ID) — Last revert/error: Could not decode contract function call to metadataURI(uint256) with return data: b'', output_types: ['string']",4,0.14%
"[http] Network Error: HTTPSConnectionPool(host='meta.pomerium.space', port=443): Read timed out. (read timeout=8)",4,0.14%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/QmExampleMetadata | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/QmExampleMetadata.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/QmExampleMetadata | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/QmExampleMetadata.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/QmExampleMetadata | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/QmExampleMetadata.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmExampleMetadata | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmExampleMetadata.json,4,0.14%
"On-Chain Parse Error: <string>:1 Unexpected """,4,0.14%
"[http] Network Error: HTTPSConnectionPool(host='armadex.pages.dev', port=443): Max retries exceeded with url: /nft/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='armadex.pages.dev', port=443): Failed to resolve 'armadex.pages.dev' ([Errno -2] Name or service not known)""))",4,0.14%
[http] Network Error: 404 Client Error: Not Found for url: https://symbio-nft.paulyk83.workers.dev/1.json,3,0.11%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0 | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0 | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0.json,3,0.11%
"[http] Network Error: HTTPSConnectionPool(host='h2o.local', port=443): Max retries exceeded with url: /community-nft-v2/1 (Caused by NameResolutionError(""HTTPSConnection(host='h2o.local', port=443): Failed to resolve 'h2o.local' ([Errno -2] Name or service not known)""))",3,0.11%
"[http] Network Error: HTTPSConnectionPool(host='h2o.local', port=443): Max retries exceeded with url: /node-nft-v2/1 (Caused by NameResolutionError(""HTTPSConnection(host='h2o.local', port=443): Failed to resolve 'h2o.local' ([Errno -2] Name or service not known)""))",3,0.11%
"[ipfs_gateway] Network Error: HTTPConnectionPool(host='127.0.0.1', port=8080): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/QmVKi1kianufR5DUCZFMprBPuWzW48iNqCvdhJuARfx6K6.json | [ipfs_gateway] Network Error: HTTPSConnectionPool(host='ipfs.io', port=443): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/QmVKi1kianufR5DUCZFMprBPuWzW48iNqCvdhJuARfx6K6.json | [ipfs_gateway] Network Error: HTTPSConnectionPool(host='bafybeidhyp3l3fvkiirtz2kekobomqsive5i6ry64egnapjhuel42jj7au.ipfs.dweb.link', port=443): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/QmVKi1kianufR5DUCZFMprBPuWzW48iNqCvdhJuARfx6K6.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmVKi1kianufR5DUCZFMprBPuWzW48iNqCvdhJuARfx6K6 | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmVKi1kianufR5DUCZFMprBPuWzW48iNqCvdhJuARfx6K6.json",3,0.11%
"[http] Network Error: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",3,0.11%
"[http] Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/0/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",3,0.11%
Invalid URI: unsupported scheme in 'Binance-Peg USD Coin',3,0.11%
"[http] Network Error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",3,0.11%
"No URI found on contract (even with exact ID) — Last revert/error: ('0x67fe1ffb03ee438c00000000000000000000000000000000000000000000000000000000', '0x67fe1ffb03ee438c00000000000000000000000000000000000000000000000000000000')",3,0.11%
[http] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/,3,0.11%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/QmCustomAgent1770209752552 | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/QmCustomAgent1770209752552.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/QmCustomAgent1770209752552 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/QmCustomAgent1770209752552.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/QmCustomAgent1770209752552 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/QmCustomAgent1770209752552.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmCustomAgent1770209752552 | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmCustomAgent1770209752552.json,3,0.11%
[http] Network Error: 403 Client Error: Forbidden for url: https://cdn.pixabay.com/1,3,0.11%
"[http] Network Error: HTTPSConnectionPool(host='sosalkaprivet.pages.dev', port=443): Max retries exceeded with url: /nft/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='sosalkaprivet.pages.dev', port=443): Failed to resolve 'sosalkaprivet.pages.dev' ([Errno -2] Name or service not known)""))",3,0.11%
"[http] Network Error: HTTPSConnectionPool(host='api.bnb.predict.fun', port=443): Max retries exceeded with url: /v1/market-outcome/ (Caused by NameResolutionError(""HTTPSConnection(host='api.bnb.predict.fun', port=443): Failed to resolve 'api.bnb.predict.fun' ([Errno -2] Name or service not known)""))",3,0.11%
"[http] Network Error: HTTPSConnectionPool(host='flapcaiyi.life', port=443): Max retries exceeded with url: /api/nfa-metadata/1.json (Caused by NameResolutionError(""HTTPSConnection(host='flapcaiyi.life', port=443): Failed to resolve 'flapcaiyi.life' ([Errno -2] Name or service not known)""))",2,0.07%
"[http] Network Error: HTTPConnectionPool(host='oslht.aidaoas.com', port=80): Max retries exceeded with url: /uploads/image/20231014180307.png (Caused by NameResolutionError(""HTTPConnection(host='oslht.aidaoas.com', port=80): Failed to resolve 'oslht.aidaoas.com' ([Errno -2] Name or service not known)""))",2,0.07%
[http] Network Error: 404 Client Error: Not Found for url: https://www.tengman.cc/nft.jpg1.json,2,0.07%
"[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0 | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0.json | [ipfs_gateway] Network Error: HTTPSConnectionPool(host='gateway.pinata.cloud', port=443): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: https://gateway.pinata.cloud/ipfs/bafkreiah2lgko2hh5gball34urkrysbgntxxlp4ncvff26d4ajtprm3z7u0.json",2,0.07%
"On-Chain Parse Error: <string>:1 Unexpected ""h"" at column 105",2,0.07%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/agi-node/0000000000000000000000000000000000000000000000000000000000000001.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/agi-node/0000000000000000000000000000000000000000000000000000000000000001.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/agi-node/0000000000000000000000000000000000000000000000000000000000000001.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/agi-node/0000000000000000000000000000000000000000000000000000000000000001.json,2,0.07%
"[http] Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Voucher/1/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.07%
"[http] Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Gift/2/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.07%
"[http] Network Error: HTTPSConnectionPool(host='lab.rwanftfi.com', port=443): Max retries exceeded with url: /v1/nft/info-blockchain/Base/1/metadata.json (Caused by NameResolutionError(""HTTPSConnection(host='lab.rwanftfi.com', port=443): Failed to resolve 'lab.rwanftfi.com' ([Errno -5] No address associated with hostname)""))",2,0.07%
"[ipfs_gateway] Network Error: HTTPConnectionPool(host='127.0.0.1', port=8080): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json | [ipfs_gateway] Network Error: HTTPSConnectionPool(host='ipfs.io', port=443): Read timed out. (read timeout=5) | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json | [ipfs_gateway] Network Error: 504 Server Error: Gateway Timeout for url: https://bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.ipfs.dweb.link/ | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreicr5vgcpc4heqyck5fpkpbzdqaydx75wsi5ohwk3a7uuu4d5dldju.json",2,0.07%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/1 | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/1.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/1 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/1.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/1 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/1.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/1 | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/1.json,2,0.07%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/CID_CHARANGOS_RECUERDOS | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/CID_CHARANGOS_RECUERDOS.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/CID_CHARANGOS_RECUERDOS | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/CID_CHARANGOS_RECUERDOS.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/CID_CHARANGOS_RECUERDOS | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/CID_CHARANGOS_RECUERDOS.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/CID_CHARANGOS_RECUERDOS | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/CID_CHARANGOS_RECUERDOS.json,2,0.07%
[http] Network Error: 404 Client Error: Not Found for url: https://ghostos.top/lfc/1,2,0.07%
"[http] Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/1/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.07%
"[http] Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/2/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.07%
"[http] Network Error: HTTPSConnectionPool(host='oss.aimallx.app', port=443): Max retries exceeded with url: /nft/3/contract.json (Caused by NameResolutionError(""HTTPSConnection(host='oss.aimallx.app', port=443): Failed to resolve 'oss.aimallx.app' ([Errno -2] Name or service not known)""))",2,0.07%
Invalid URI: unsupported scheme in '0.json',2,0.07%
[http] Invalid URI: skipped host 'api.example.com',2,0.07%
"[ipfs_gateway] Server returned HTML instead of JSON (from http://127.0.0.1:8080/ipfs/QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd/): '<!DOCTYPE html>  <html lang=""en""> <head>   <meta charset=""utf-8"" />   <meta name=""description"" content=""A directory of content-addressed files hosted on IPFS."">   <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">   <link rel=""shortcut icon"" href=""data:image/x-icon;base64,AAABAAE' | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd.json | [ipfs_gateway] Server returned HTML instead of JSON (from https://ipfs.io/ipfs/QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd/): '<!DOCTYPE html>  <html lang=""en""> <head>   <meta charset=""utf-8"" />   <meta name=""description"" content=""A directory of content-addressed files hosted on IPFS."">   <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">   <link rel=""shortcut icon"" href=""data:image/x-icon;base64,AAABAAE' | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd.json | [ipfs_gateway] Server returned HTML instead of JSON (from https://bafybeierpth6szhuzd6gdjsfioyrnmpdvjgdonqhruiwfobh7ouwarlvwa.ipfs.dweb.link/): '<!DOCTYPE html>  <html lang=""en""> <head>   <meta charset=""utf-8"" />   <meta name=""description"" content=""A directory of content-addressed files hosted on IPFS."">   <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">   <link rel=""shortcut icon"" href=""data:image/x-icon;base64,AAABAAE' | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmY8aD9RHZZcwp4q4j3oCffewiBfuEGchKEpbVxBKBmAMd.json",2,0.07%
[http] Network Error: 404 Client Error: Not Found for url: http://207.148.127.15/nft/1.json,2,0.07%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/QmTestNFT2 | [ipfs_gateway_json] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/QmTestNFT2.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/QmTestNFT2 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/QmTestNFT2.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/QmTestNFT2 | [ipfs_gateway_json] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/QmTestNFT2.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmTestNFT2 | [ipfs_gateway_json] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/QmTestNFT2.json,2,0.07%
"[http] Network Error: HTTPSConnectionPool(host='readon-api.readon.me', port=443): Read timed out. (read timeout=8)",2,0.07%
[ipfs_gateway] Network Error: 400 Client Error: Bad Request for url: http://127.0.0.1:8080/ipfs/puzzle/season-1/1.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/puzzle/season-1/1.json | [ipfs_gateway] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/puzzle/season-1/1.json | [ipfs_gateway] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/puzzle/season-1/1.json,2,0.07%
Invalid URI: unsupported scheme in 'ipfs://',2,0.07%
"No URI found on contract (even with exact ID) — Last revert/error: ('0x0f3342be', '0x0f3342be')",2,0.07%
[http] Network Error: 404 Client Error: Not Found for url: https://freedomofnft.xyz/metadata/1.json,2,0.07%
[http] Network Error: 400 Client Error: Bad Request for url: https://chocolate-important-vicuna-187.mypinata.cloud/ipfs/bafkreifw5inoaon374vxnzravgrfsi3kweahldntafshvyxxwlavhjyw5i1 | [ipfs_gateway_fallback] Network Error: 500 Server Error: Internal Server Error for url: https://ipfs.io/ipfs/bafkreifw5inoaon374vxnzravgrfsi3kweahldntafshvyxxwlavhjyw5i1 | [ipfs_gateway_fallback] Network Error: 500 Server Error: Internal Server Error for url: https://dweb.link/ipfs/bafkreifw5inoaon374vxnzravgrfsi3kweahldntafshvyxxwlavhjyw5i1 | [ipfs_gateway_fallback] Network Error: 429 Client Error: Too Many Requests for url: https://gateway.pinata.cloud/ipfs/bafkreifw5inoaon374vxnzravgrfsi3kweahldntafshvyxxwlavhjyw5i1,2,0.07%
