uri,error,response_status,content_type,is_ipfs_url,metadata,is_ipfs_second_url,img_field,second_response_status,perc_hash_32,perc_hash_64,image_error,metadata_error,extra_fields,response_time,second_url,response_2_time
https://ipfs.io/ipfs/QmaUeEdBMvP6ALCzKmKNHaD8kDCNjtG2vb2HnvtgKqyxmW,,200,image/jpeg,True,False,,,200,98d81100a18060756d360e0f163f1f0fb0cbeff52cddb3e0950ebaf9c3074e3ec971ed9e949830832ccf06697b5983c9372cf0e264c6983c4bf1ef0e85ac6ec74ef310914b1bc3d93f8520e7366bb4107b70c20e726fb96766219fb14b1ce7d666418cc30da8c4997935b7567a73104b35acd72c5a64d0c66676de5b4fb1718b,98d0110040355d7ea1806075575208bf6d160e0bbfd54002163f1f0f9885c7cb30cbeff540aabff52cddb3e0003bfff4950ebaf9d57eaa21c3074e3eba2c0001c971ed8e8bbfd55094983083c79bef8e2ccf0661f6d100067a5983c9fe6c2051372cf0e29b2c5c7164c6183c6b37582c4bf1ef0e04576fee85a86ec70741e7af4ef3109141c1ebfb4b1bc3d93cf83c793f8520e7be3c140c366bb410d32f2b8f7b50c20e1926cbca726fb9478f93ed9e66219fb140c3639d4b1ce7d668f834fb66418cc32e3e3c790da8c499f2af0f0d793597563ae1c7c67a73104bafafd153358cd72ce984467c5a6490c62bf044566276de53e99c3cf94fb17189698d1e4d62271462bc55e38d5ed6c6f8fe4183e234b791ea2107daf01ee5c42fac1259fb3290962ac11e687458e479ee71515eac62c64ea14476ba0142961bb8f057afe14ed62ae215cbe1049da363b91512bae41ed728a533de98729cc66c6e446af830199b7b8dcfb8419f39d71ea510feae4148d32f519efa46efb12329a0539ea845cc4c69c4fe8400be8d9b6c50c6bbf1149d2b69133ac17feeac4b39158eec4476991a70deb210ffbf396e6cc0da9d116bc97b466ce401aee0633b2bf6f31454fe856f031adc47fbc02549e81eae1173bf8d6a769f31a7b700ac6a29538e405ee79de8ce6e632ccd00b15a3385f9453fb291ba875810739450b30fb3761903f3cc,,,,0.06390929222106934,https://ipfs.io/ipfs/QmaUeEdBMvP6ALCzKmKNHaD8kDCNjtG2vb2HnvtgKqyxmW,0.19112300872802734
https://vcn8888.com/nft/Venus.json,"timeout_or_conn_err: Cannot connect to host vcn8888.com:443 ssl:True [SSLCertVerificationError: (1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1081)')]",,,,,,,,,,,,,,,
https://ipfs.io/ipfs/QmSfCEuh7HRt65yXftu54UEJHuM7PmEy5HRDtbvQZBqk2L,,200,image/jpeg,True,False,,,200,81e56f8e5e2aa3572d1dd380caf2ad36b4352c6217cbf1fd60f05ae99d2f4fc1c6859ce1e1ca30296ad220693425c45633e388a77c3f73d0c352f2bfca497c368d9681afda05272825697a5b86f0deb21d2d91b5cbd233cbdb26853527dc8c6ac09b090d3967259a254bd2d630bcc5e82cf4b2d8cac72f0f97334b56c64d816d,81e56f8e3af261e75e2aa35753372cf32d1dd380eb271e53caf2ad3671356e97b4352c625a8ca18617cbf1fd9648e92460f05ae9ad0c9b3c9d2f4fc1fcd8d16cc6859ce1b4cb2b8ce1ca30298ec3191c6ad220691413c3ac3425c4562caf3a4d33e388a7c1c73b097c3f73d0cb3cd17dc352f2bec56cda68ca487c360ee8d7c78d9681abd814eed3da052728962c843a25697a5bc331069386f0deb03d7374fa1d2d91b5bb93a4b2cbd233cbf33b5072db268535353b2f0727dc8c6a0bc370eec09b090d119ea1e73967219ab14c5926254bd2d663c69a8730bcc5e8684675e02ce4b2d8f0f60b03cac72f0f27a178f497334b56cc3a14b5c64d816decc705e036e8581200d9cf1f7ce697a525b1e23861cd28789e1ec71930b0fcb0d8fce3b896c6894b292dda5fc3497293130782f8cb4b6d2dca2e3d4d0f2c5d28d0d4b64e9c1cb4f31b093a4c35b23f36a73732c0593e12e4fc6c1f43c359234b4bc0f0e672cd85b0c6d939a79f18d22d4e0f83e14e3f26dca5a46d3a2149f0bc74f34b526e7cbd5f349b45b7bca7649b331a683196d2e34b63b2c43bc82b524dbd956de189e2c0c35958641f652d1934b7b40f033db235250f48f07cb4d70bf0de5c8e4c671cd8249acc92c8a0e2cbc3d2e5b16d44879936cf4f5a4a3578f66f90cd85e5724dccd12d2d31fb2d8cdcba70d2339f9e4d270f3787056d73cb64996d367c97,,,,0.30958127975463867,https://ipfs.io/ipfs/QmSfCEuh7HRt65yXftu54UEJHuM7PmEy5HRDtbvQZBqk2L,0.09857797622680664
https://api.millionwinner.org/QmShdL5NTBwxinpxBLh36Diaquxe7AHnVPfreeMintJson/339942084554017524999911232824336443249447.json,timeout_or_conn_err: Cannot connect to host api.millionwinner.org:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://www.pai3.ai/2316,,404,text/html; charset=utf-8,False,,,,,,,,other content/parsing failed,,1.036463737487793,,
https://vcn8888.com/nft/Neptune.json,"timeout_or_conn_err: Cannot connect to host vcn8888.com:443 ssl:True [SSLCertVerificationError: (1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1081)')]",,,,,,,,,,,,,,,
https://peach-cheap-junglefowl-625.mypinata.cloud/ipfs/bafybeifgwozrw4k3nazttec3awq3us5oo6df2lqnibkv3n3l3hwsfvcexm,,200,image/png,True,False,,,200,905145be4a4d216e1dd8bc15b1b2ced079259e40cf269b6460bd49ecb473a5afcf5a449692ac265b86e69b61e0d24b269b1924bba73106f695b81bfec30de52431a7b6c4b6721acd173bf9c124c698d9600fd854c199cd3a645ba4d5168cde193d5aed03d189bf916c46be47d369dae63907310531bf0df3353becc1c336ecc6,905145beaa9145ae4a4d016ec99b48641dc8bc154cbbfc44b1b2ced04db1b49e79259e40cd7d9adecf269b649a7f9a4460bd49ecc45b8845b471a5afac051beecf5a4496ec8bdcd092ac265b4da6a4b286e69b6101ef8514e0d24b2692fa913c9b1924bb473165b8a73106f2c5324d9395b81b7e859043bfc30de5247992d21b31a7b6c413fed111b6721acd98271259173bf9c176bab75124c698d9964925f0600fd854cb64a394c998cd3acf244399645ba4d5b64d7fab168cd8191a48e3123d5aed03e904ebabd189ae91b204361b6846be47b354caffd369dae42504aaed39073104be4cb2c431bf0df33e5e1de1353bec41702b25b34336ec806db030c66d336e9b15cb643e06e8c873844de496303fc2bd00dc24bb9469fe4215d15eeb6ef813f431dd303e24fdc23c609a363a3be43721cbfcb2cb24b963ed9847bc6b5acd49380cc3bac5694656c932696beb1378bec83647b7b118bd999e924873bb076563965b0be92734cc7e8961873d32c6296c73b482da736dd9a5970933cb31e644254d14b647b264e571c9158ae691f246fd08a6ed33ab31e711d130e4b733b635a8ff1bfd4bb373287eca75edb76de6f0b43b0a64cf3461c3ec13e4b65bb2f6e0756016ebaf19676f0e448ce2fa1c269da1697b96ff5060ecc93196be3164338ff6651e42fd48b2cc79443bc3a70436cee7324abbf80c16c67c944a7bb724,,,,0.4040248394012451,https://peach-cheap-junglefowl-625.mypinata.cloud/ipfs/bafybeifgwozrw4k3nazttec3awq3us5oo6df2lqnibkv3n3l3hwsfvcexm,0.2314600944519043
https://nft.lingape.com/json/1.json,,200,text/html,False,,,,,,,,other content/parsing failed,,1.812330722808838,,
"{""image"":""https://ipfs.io/ipfs/bafkreih6eqs5dqo63tpu4f62xaeapm2put7btgndvd7trp3wy757gm2nqq"",""name"":""Orange Protocol Genesis Drop"",""attributes"":[{""trait_type"":""TITLE"",""value"":""Orange Protocol Genesis Drop""},{""DisplayType"":""date"",""trait_type"":""START DATE"",""value"":""2022-08-05 13:00:00 +0000 UTC""},{""DisplayType"":""date"",""trait_type"":""END DATE"",""value"":""2022-08-14 13:00:00 +0000 UTC""},{""trait_type"":""CATEGORY"",""value"":""EVENT""},{""DisplayType"":""date"",""trait_type"":""CLAIMED DATE"",""value"":""2022-08-11 02:28:51.979650627 +0000 UTC""},{""DisplayType"":""number"",""trait_type"":""CAMPAIGN ID"",""value"":""4""},{""trait_type"":""CREATOR"",""value"":""Orange""}]}",,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.8831946849822998,,
https://api.fishyfrenzbsc.com/api/1282,timeout_or_conn_err: Cannot connect to host api.fishyfrenzbsc.com:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://aegis-protocol.io/agent/alpha,timeout_or_conn_err: Cannot connect to host aegis-protocol.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://micro3-metadata-mainnet.s3.amazonaws.com/9cfc7a41e1ea13dcedc38b47ef4dacc0,,403,application/xml,False,,,,,,,,other content/parsing failed,,1.0247032642364502,,
https://www.okx.com/priapi/v1/nft/metadata/56/0x54aeb1788b66ba469435d3c9889a932ea8c97f79/0x{id},,200,,False,,,,,,,,other content/parsing failed,,1.043675422668457,,
https://apimarket.mogwar.com/monster/2511,timeout_or_conn_err: Cannot connect to host apimarket.mogwar.com:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://api.nexora.io/metadata/legacy/sentinel/1,timeout_or_conn_err: Cannot connect to host api.nexora.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://pandababy.link/metadata/80744,timeout_or_conn_err: Cannot connect to host pandababy.link:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://static.oasis-dao.com/nftmeta/2062544441195640,timeout_or_conn_err: Cannot connect to host static.oasis-dao.com:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://metadata.mones.io/heroes/5943,timeout_or_conn_err: Cannot connect to host metadata.mones.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://ipfs.alphabear.io/alphabear/512030,timeout_or_conn_err: Cannot connect to host ipfs.alphabear.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://CryptoUltraman.com/ipfs/5116912,,400,text/plain; charset=utf-8,True,,,,,,,,other content/parsing failed,,0.4407844543457031,,
https://apigateway.bithotel.io/metadata/QmRSUTegbipfLnwGrZjzTdP2CPKvppD72N2vLN8QTiaz5v,"timeout_or_conn_err: Cannot connect to host apigateway.bithotel.io:443 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'apigateway.bithotel.io'. (_ssl.c:1081)"")]",,,,,,,,,,,,,,,
https://apigateway.bithotel.io/metadata/QmVZazN7iffFsCdpfmLiTZKLcxFDkdnfwfxFrMuiQK6wEq,"timeout_or_conn_err: Cannot connect to host apigateway.bithotel.io:443 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'apigateway.bithotel.io'. (_ssl.c:1081)"")]",,,,,,,,,,,,,,,
https://api.athenadexfi.io/event/getTicketNFTMeta/22,,503,text/html,False,,,,,,,,other content/parsing failed,,1.530210018157959,,
https://apigateway.bithotel.io/metadata/QmbquYwt1oQX2fh7kfkLFGPYzDEXGrpjPszFJNk73Lqb2n,"timeout_or_conn_err: Cannot connect to host apigateway.bithotel.io:443 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'apigateway.bithotel.io'. (_ssl.c:1081)"")]",,,,,,,,,,,,,,,
https://micro3-metadata-mainnet.s3.amazonaws.com/84f1ab3273000082605befa1c55c859b,,403,application/xml,False,,,,,,,,other content/parsing failed,,0.941422700881958,,
https://nft.51shenma.com/api/v1/nft/metadata/56/0xd303d28749554cb5acd6fb2a132695795f2b77a3/1,,404,application/json,False,True,,False,,,,,,['error'],1.3959169387817383,,
ipfs://QmeYWLAGQEAqLFmZmiPXPLmFbJ2JbJfi19M2xtnr945bfo/1.json,,200,application/json,True,True,True,True,200,958b58a41f8bd8a1696ddec278f80a163eb2569d3522a2dd37e28797e74ae1b549f85a77b6879e79261d0f5623695cb69f2bf62994e376a17202708766a5f8c2d887ab431f8b73523d682ae5265a549c87d826bd8dd527e701f5991f8f05da7241ebcd2648c0daad95aa3d277670bc2f5c0e6dc15c82a88962515f88b5289d01,958b58a08b57499b1f8bd8a1e76098da696ddec2a2da78cc78f80a161f29e59d3eb2529d337d97583522a2dd49589e2637e2879748f682a8e34ae1b5c99690d149f85a7768d2090fb6879e796372f1a0261d0f56e7de3e2123695cb6a79f4f299f2bf629e666372494e376a18a796166720270875e082773662578c29c6471f2d883ab439d2223d61d8b73522761e2da3d682ae572209dd7225a549c2da5cbc687d826bd2cb69a688dd527e68271921901f5891fa35f27488f05da7262d6d86d41ebcd26e8dafcb548c0daad58d02ce195aa3d276af61d007670bc2f52da27225c0e6dc1e2ed24235c82a889d48a797d62515f881997f79da5289d016f70bad7aa5547e842598f92c3ee20dc9e2447d62d676968883519d55bfa179582a90d988c56947d98b7660837aa0d9f74ded94b4a53a00bd9c39b61c1a07a6158baa6469e529683da58239be8022dbd65df286508f7f6457dda2c27fa5dbf0a089dbda14d9c9730769697638a45e7288ff4d7c772fc9ca9ca49c7f269ad8979e6761fadff6223a7527279d94bf225812aa52dccb42628d87c2269ef5cdf889609a6f0d9f09898f77d15825ba63d73a9f75a0286c7627cee63c6288ba9e153ca760c0c6e1e037bdb89bc5661229f1795a97431396489e1742678d68602888f65cadcd6f61c22b82888de9d37776256a15a368b4d7fdd9c97214328dbb29dd9e27dd66da8,,,,0.1300516128540039,http://127.0.0.1:8080/ipfs/QmQgRpA53arMvT662deNVRZhjVCNZL4qmJB3y9EK1jxahL/bxj-1.jpeg,1.5446925163269043
https://micro3-metadata-mainnet.s3.ap-southeast-1.amazonaws.com/09bcdb60f9004d79c881719531b772b8,,403,application/xml,False,,,,,,,,other content/parsing failed,,2.0065231323242188,,
https://api.invaderz.io/api/186,timeout_or_conn_err: Cannot connect to host api.invaderz.io:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://hryct7akg3.execute-api.us-east-1.amazonaws.com/championship-pass/31119,timeout_or_conn_err: Cannot connect to host hryct7akg3.execute-api.us-east-1.amazonaws.com:443 ssl:default [Name or service not known],,,,,,,,,,,,,,,
https://ipfs.io/ipfs/bafkreihelxywqj6kjta2bwyb6codrg6afdj7rksuld5n6x7zbktzozzp4a,,200,application/json,True,True,True,True,200,ef9b190e1a6f564bd6b8799be19679879961ae71a951ad64e9e4a6e1259663919cc6c666c6e9866ec69f4b6c904e59f1986ef184b6393c6e66591b8e58e696a599e61f19f1ce4c4e319b51a7719993b40e1d0e5956196f169bb19276d8a690ed884e43b5631b0b922646fc6b4e40ec299b93b1b1d89666e0b0bc6586336d214a,ef9b190ef0ad1a181a6f564be79d4b0ed6b8799b8f99e046e1967987946c6c619961ae71f1ac6efca951ad6411e0a6b9e9e4a6e19e46e463259663919306f1679cc6c666c66f1e1bc6e9866e4bc69b38c69f4b6c6bc6913b904e59f1ae59b122986ef1846d3e19e4b6393c6e686965b866591b8e6994619958e696a5bd0e6e5b99e61f19f51e46d1f1ce4c4ed18646f9319b51a79271a6be719993b46e699b1b0e1d0e59e61b9e6456196b16c63999649bb192764669984ed8a690ed06f98994884e43b51bd493e4631b0b92f9b1be652646fc6be1e46c424e50ec299be4419a9b93b1b116f951b6d89666e069ac6667b0bc6586790cbe42336d214ac641b92e6619a65be591b53f4e6592f0fb9646ed393993669e43666994f86c6419466479c9e4a6699d2e6d3c199a679b9b0e61942e46469b1a66e6d167c7c6cb9926ef19b1e6f999b31ee6c5e5a42d9b66665191192e4b9a51e6199b6f1b1b2c66390c7bd993866c6619f1b370c1d0b4e46191b0e67299a6b1bd986149334e6718ec4bc39a666f934ad1e7b6926271b07194e667e5999ca4799c46679d991e659a6907963649271a639e7e7bcc6d39e661946e4936191a649a4967857265c6119b1676f16699a6d996666399d330f0bc9866691b19c198299b679a59cd999c4b6e53a41c9eb161466146190626666c41c6979992cec66e4b92d199923199b4665399ac6e,,,,0.18755340576171875,http://127.0.0.1:8080/ipfs/bafkreid7lwcrcaqxms5tsmwvqhekcgprvdkidwhnrrzbnqvlmkondhby7i,1.034266471862793
https://gateway.pinata.cloud/ipfs/bafybeighb6ej4mnac224niephsxjovxslmpkpwvzhhvn2msxsdvadlsxaa,,200,image/png,True,False,,,200,b1000a2a88ff8a7a16fbf7dd2f50c70d66aebad7b1fc61a16b95ebc97f041257381ecd77c701b1d027cda51ad1335d0d3c70e33cd4991e5323be1d08c04d8d351cfa2586a047c178cb6350e9e158dad5bb19921bcc4c6590a6d12d25d0e6374cbb11836ad6aa55c3a4dcf49cc66e54b4c11f0b66c58d6309f039efbbce731b6c,b1000a2aaaffffd788ff8a7a53c3801c16fbf7dd51c0a82a2f50c70db52c140166aebad7544343aab1dc61a143f9b0f46b95ebc98e1a78e77f0c12579e17cb7a381ecd77c968ac84c701b1f0bc183f4f27cda51ab4a3931ed1335d0d69702d903c70e33c37886280d4991e53bc0de3dc23be9d08d31a1ce6c44d8d35251218621cfb258655c7c989a0c7c178d2d5173ecf6350e949af4636e158dad525f4d289bb19929b72f1c9dacc4c6d92c37f79efa6d12d258f3c35e6d0e6374c15adf0babb11836a6a4f1059d6aa55d3582b0b6da4dcf49cb700cd5ec66e54b40780b695c11f0b666d92a792c58d63091268a7d0f139efbb714a3c69ce731b6cc5b24b21d38ccccf24bb90f09c1714b6593ce6d6d08cb6b19b4dc63367724ce9b6c3a199c3295325a5b3f56c4d3b8cca3d983a47e68d7912ce1e7c974c6a6e73db603895b3678c0921ed195416f3b1a4fca60e66d29cf08d94d987994a6ede67361861d9d0e643126f4e71c40cbb6b1b499eb097d32fb059b9633c672de3396364e5d830d4ca318cc399ee1d3b3ce636131d670ddaa7bc6426366b8668d26719099d9bc2d298e3633991c4e13f0e91c98246d5b059667ec4e4ec52716de9d7188f316c4e5a65cef3533d693c798424e4cb3e2e1b6b9565391c861f067bcc9b39be4490e10c561eecc8e331e83cc64b94d8c346714b30c66733394cda73912bdb3c0d3b3c,,,,0.5847389698028564,https://gateway.pinata.cloud/ipfs/bafybeighb6ej4mnac224niephsxjovxslmpkpwvzhhvn2msxsdvadlsxaa,0.3473942279815674
